Id,Name,attributes/type,attributes/url
0061U000003ykBnQAI,Edge Emergency Generator,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAI
0061U000003ykBnQAJ,Solar Panel Installation,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAJ
0061U000003ykBnQAK,Smart Home Automation,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAK
0061U000003ykBnQAL,Energy Efficiency Audit,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAL
0061U000003ykBnQAM,Electric Vehicle Charging Station,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAM
0061U000003ykBnQAN,Renewable Energy Consultation,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAN
0061U000003ykBnQAO,Energy Storage Solutions,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAO
0061U000003ykBnQAP,LED Lighting Retrofit,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAP
0061U000003ykBnQAQ,HVAC System Upgrade,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAQ
0061U000003ykBnQAR,Water Conservation Solutions,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAR
0061U000003ykBnQAS,Energy Management System,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAS
0061U000003ykBnQAT,Wind Turbine Installation,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAT
0061U000003ykBnQAU,Geothermal Heating System,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAU
0061U000003ykBnQAV,Energy Performance Contracting,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAV
0061U000003ykBnQAW,Sustainable Building Design,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAW
0061U000003ykBnQAX,Energy Auditing Services,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAX
0061U000003ykBnQAY,Carbon Footprint Analysis,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAY
0061U000003ykBnQAZ,Energy Rebate Program,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQAZ
0061U000003ykBnQB0,Green Roof Installation,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQB0
0061U000003ykBnQB1,Waste Management Solutions,Opportunity,/services/data/v59.0/sobjects/Opportunity/0061U000003ykBnQB1
